source_record_id,device_id,user_id,device_type,platform,model_family,activated_date,deactivated_date,device_status,schema_version
DEVREC000001,DEV000001,USR005334,SMARTWATCH,IOS,WATCH_B,2024-11-09,,ACTIVE,1
DEVREC000002,DEV000002,USR002183,MOBILE_PHONE,IOS,PHONE_APP,2025-02-01,,ACTIVE,1
DEVREC000003,DEV000003,USR003700,FITNESS_BAND,ANDROID,BAND_A,2025-11-14,,ACTIVE,1
DEVREC000004,DEV000004,USR000784,SMARTWATCH,IOS,WATCH_C,2025-11-29,,ACTIVE,1
DEVREC000005,DEV000005,USR003699,SMARTWATCH,IOS,WATCH_A,2025-09-10,,ACTIVE,1
DEVREC000006,DEV000006,USR005906,SMARTWATCH,CROSS_PLATFORM,WATCH_A,2025-08-22,,ACTIVE,1
DEVREC000007,DEV000007,USR006053,FITNESS_BAND,ANDROID,BAND_A,2024-11-22,,ACTIVE,1
DEVREC000008,DEV000008,USR000379,FITNESS_BAND,ANDROID,BAND_B,2024-07-25,,ACTIVE,1
DEVREC000009,DEV000009,USR001623,SMARTWATCH,ANDROID,WATCH_A,2024-05-17,,ACTIVE,1
DEVREC000010,DEV000010,USR003977,FITNESS_BAND,ANDROID,BAND_A,2025-08-14,,ACTIVE,1
DEVREC000011,DEV000011,USR006996,SMARTWATCH,ANDROID,WATCH_C,2025-10-16,2026-06-30,RETIRED,1
DEVREC000012,DEV000012,USR006215,FITNESS_BAND,ANDROID,BAND_A,2025-12-24,,ACTIVE,1
DEVREC000014,DEV000014,USR002433,FITNESS_BAND,IOS,BAND_A,2025-04-17,,ACTIVE,1
DEVREC000015,DEV000015,USR001121,BIKE_SENSOR,IOS,SENSOR_A,2025-08-05,,ACTIVE,1
DEVREC000016,DEV000016,USR004233,SMARTWATCH,ANDROID,WATCH_A,2025-08-14,,ACTIVE,1
DEVREC000017,DEV000017,USR007674,SMARTWATCH,ANDROID,WATCH_A,2025-10-18,,ACTIVE,1
