source_record_id,goal_id,user_id,goal_type,target_value,target_unit,goal_start_date,goal_end_date,goal_status,activity_type_scope,schema_version
GOLREC000001,GOL000001,USR001396,DURATION_MINUTES,1316.0,MINUTES,2026-02-16,2026-03-18,EXPIRED,CYCLE,1
GOLREC000002,GOL000002,USR003090,WORKOUT_COUNT,5.0,WORKOUTS,2026-03-10,2026-06-07,ACTIVE,,1
GOLREC000003,GOL000003,USR004883,CALORIES,4910.2,KCAL,2026-03-12,2026-06-09,COMPLETED,,1
GOLREC000004,GOL000004,USR007450,DURATION_MINUTES,1021.0,MINUTES,2026-05-12,2026-06-30,EXPIRED,,1
GOLREC000005,GOL000005,USR007750,DURATION_MINUTES,791.0,MINUTES,2026-01-05,2026-03-05,EXPIRED,,1
GOLREC000006,GOL000006,USR000546,DISTANCE_KM,19.3,KM,2026-01-19,2026-02-18,CANCELLED,CYCLE,1
GOLREC000007,GOL000007,USR001517,DURATION_MINUTES,685.0,MINUTES,2026-03-01,2026-05-29,COMPLETED,,1
GOLREC000008,GOL000008,USR006174,DURATION_MINUTES,1708.0,MINUTES,2026-02-16,2026-04-16,COMPLETED,,1
GOLREC000009,GOL000009,USR003815,WORKOUT_COUNT,25.0,WORKOUTS,2026-04-06,2026-05-05,EXPIRED,YOGA,1
GOLREC000010,GOL000010,USR000077,WORKOUT_COUNT,15.0,WORKOUTS,2026-03-07,2026-04-03,ACTIVE,,1
GOLREC000011,GOL000011,USR000533,DISTANCE_KM,213.1,KM,2026-01-07,2026-02-03,ACTIVE,WALK,1
GOLREC000012,GOL000012,USR005859,DISTANCE_KM,67.6,KM,2026-02-05,2026-03-07,EXPIRED,CYCLE,1
GOLREC000013,GOL000013,USR002079,DURATION_MINUTES,1216.0,MINUTES,2026-03-07,2026-04-06,EXPIRED,SWIM,1
GOLREC000014,GOL000014,USR007605,CALORIES,10887.9,KCAL,2026-04-13,2026-06-30,EXPIRED,,1
GOLREC000015,GOL000015,USR004182,DISTANCE_KM,183.0,KM,2026-02-01,2026-02-28,EXPIRED,WALK,1
GOLREC000016,GOL000016,USR005197,DISTANCE_KM,82.6,KM,2026-04-15,2026-06-13,EXPIRED,SWIM,1
GOLREC000017,GOL000017,USR003898,WORKOUT_COUNT,26.0,WORKOUTS,2026-01-02,2026-04-01,ACTIVE,,1
GOLREC000018,GOL000018,USR003391,DURATION_MINUTES,1543.0,MINUTES,2026-02-09,2026-05-09,ACTIVE,,1
GOLREC000019,GOL000019,USR007489,CALORIES,1448.5,KCAL,2026-01-03,2026-04-02,COMPLETED,,1
GOLREC000020,GOL000020,USR004316,DURATION_MINUTES,620.0,MINUTES,2026-05-11,2026-06-10,ACTIVE,,1
GOLREC000021,GOL000021,USR004095,DISTANCE_KM,61.3,KM,2026-01-07,2026-02-06,EXPIRED,RUN,1
GOLREC000022,GOL000022,USR006551,DISTANCE_KM,213.3,KM,2026-03-02,2026-04-30,COMPLETED,WALK,1
GOLREC000023,GOL000023,USR001848,DISTANCE_KM,135.0,KM,2026-04-16,2026-05-13,COMPLETED,CYCLE,1
GOLREC000024,GOL000024,USR007493,WORKOUT_COUNT,27.0,WORKOUTS,2026-04-05,2026-06-03,ACTIVE,,1
GOLREC000025,GOL000025,USR007472,DISTANCE_KM,141.8,KM,2026-03-18,2026-05-16,EXPIRED,RUN,1
GOLREC000026,GOL000026,USR003660,WORKOUT_COUNT,10.0,WORKOUTS,2026-05-15,2026-06-14,EXPIRED,,1
GOLREC000027,GOL000027,USR000872,WORKOUT_COUNT,16.0,WORKOUTS,2026-01-03,2026-02-02,ACTIVE,,1
GOLREC000028,GOL000028,USR004482,WORKOUT_COUNT,26.0,WORKOUTS,2026-03-04,2026-06-01,ACTIVE,,1
GOLREC000029,GOL000029,USR000428,WORKOUT_COUNT,27.0,WORKOUTS,2026-01-11,2026-04-10,EXPIRED,,1
GOLREC000030,GOL000030,USR004597,DISTANCE_KM,224.8,KM,2026-03-03,2026-04-02,ACTIVE,RUN,1
GOLREC000031,GOL000031,USR004497,WORKOUT_COUNT,18.0,WORKOUTS,2026-04-07,2026-05-06,COMPLETED,,1
GOLREC000032,GOL000032,USR004745,DISTANCE_KM,173.0,KM,2026-05-02,2026-06-01,EXPIRED,CYCLE,1
GOLREC000033,GOL000033,USR001028,CALORIES,5428.9,KCAL,2026-04-13,2026-05-13,COMPLETED,STRENGTH,1
GOLREC000034,GOL000034,USR005660,DISTANCE_KM,250.0,KM,2026-04-12,2026-05-11,COMPLETED,CYCLE,1
GOLREC000035,GOL000035,USR006821,DURATION_MINUTES,219.0,MINUTES,2026-03-06,2026-06-03,EXPIRED,,1
GOLREC000036,GOL000036,USR004032,WORKOUT_COUNT,19.0,WORKOUTS,2026-02-04,2026-04-04,EXPIRED,,1
GOLREC000037,GOL000037,USR000380,DISTANCE_KM,83.7,KM,2026-02-09,2026-03-11,CANCELLED,RUN,1
GOLREC000039,GOL000039,USR002573,WORKOUT_COUNT,30.0,WORKOUTS,2026-01-16,2026-02-12,COMPLETED,,1
GOLREC000040,GOL000040,USR000372,DURATION_MINUTES,1403.0,MINUTES,2026-05-04,2026-06-02,EXPIRED,,1
GOLREC000041,GOL000041,USR006408,CALORIES,12794.0,KCAL,2026-03-14,2026-04-13,EXPIRED,,1
GOLREC000042,GOL000042,USR002360,DISTANCE_KM,76.5,KM,2026-02-07,2026-03-09,EXPIRED,CYCLE,1
GOLREC000043,GOL000043,USR004026,DISTANCE_KM,136.5,KM,2026-01-08,2026-02-07,COMPLETED,WALK,1
GOLREC000044,GOL000044,USR007633,DURATION_MINUTES,970.0,MINUTES,2026-05-15,2026-06-11,EXPIRED,STRENGTH,1
GOLREC000045,GOL000045,USR005129,DURATION_MINUTES,1500.0,MINUTES,2026-05-13,2026-06-30,EXPIRED,OTHER,1
GOLREC000046,GOL000046,USR005337,DURATION_MINUTES,1007.0,MINUTES,2026-02-14,2026-04-14,ACTIVE,CYCLE,1
GOLREC000047,GOL000047,USR000212,CALORIES,12853.7,KCAL,2026-05-17,2026-06-15,COMPLETED,WALK,1
GOLREC000048,GOL000048,USR007476,WORKOUT_COUNT,8.0,WORKOUTS,2026-02-13,2026-04-13,EXPIRED,,1
GOLREC000049,GOL000049,USR003445,DURATION_MINUTES,190.0,MINUTES,2026-04-12,2026-05-12,COMPLETED,STRENGTH,1
GOLREC000050,GOL000050,USR002361,DISTANCE_KM,36.2,KM,2026-04-13,2026-05-13,ACTIVE,WALK,1
GOLREC000051,GOL000051,USR005806,DURATION_MINUTES,765.0,MINUTES,2026-02-03,2026-03-05,EXPIRED,,1
GOLREC000052,GOL000052,USR006929,DURATION_MINUTES,886.0,MINUTES,2026-05-18,2026-06-30,COMPLETED,,1
GOLREC000053,GOL000053,USR000443,WORKOUT_COUNT,21.0,WORKOUTS,2026-02-20,2026-03-22,CANCELLED,,1
GOLREC000054,GOL000054,USR001064,CALORIES,10018.1,KCAL,2026-02-13,2026-03-15,ACTIVE,YOGA,1
GOLREC000055,GOL000055,USR001238,WORKOUT_COUNT,5.0,WORKOUTS,2026-04-07,2026-05-07,EXPIRED,,1
GOLREC000056,GOL000056,USR005689,DURATION_MINUTES,120.0,MINUTES,2026-01-05,2026-02-04,EXPIRED,YOGA,1
GOLREC000057,GOL000057,USR001733,DISTANCE_KM,47.5,KM,2026-01-04,2026-02-03,EXPIRED,WALK,1
GOLREC000058,GOL000058,USR004352,DURATION_MINUTES,1512.0,MINUTES,2026-02-11,2026-05-11,COMPLETED,,1
GOLREC000059,GOL000059,USR003866,DISTANCE_KM,246.5,KM,2026-03-09,2026-04-08,COMPLETED,SWIM,1
GOLREC000060,GOL000060,USR004770,CALORIES,2205.1,KCAL,2026-01-02,2026-02-01,COMPLETED,CYCLE,1
GOLREC000061,GOL000061,USR004319,DISTANCE_KM,168.8,KM,2026-04-19,2026-06-17,EXPIRED,RUN,1
GOLREC000062,GOL000062,USR002211,DISTANCE_KM,28.6,KM,2026-03-18,2026-05-16,COMPLETED,CYCLE,1
GOLREC000063,GOL000063,USR003195,DISTANCE_KM,76.1,KM,2026-03-09,2026-06-06,COMPLETED,SWIM,1
GOLREC000064,GOL000064,USR007915,CALORIES,12271.6,KCAL,2026-02-17,2026-03-19,COMPLETED,,1
GOLREC000065,GOL000065,USR007508,DISTANCE_KM,62.0,KM,2026-02-11,2026-03-13,COMPLETED,CYCLE,1
GOLREC000066,GOL000066,USR004454,DURATION_MINUTES,1130.0,MINUTES,2026-02-14,2026-03-13,ACTIVE,,1
GOLREC000067,GOL000067,USR001230,DURATION_MINUTES,371.0,MINUTES,2026-05-04,2026-06-30,EXPIRED,SWIM,1
GOLREC000068,GOL000068,USR006700,CALORIES,12467.3,KCAL,2026-01-15,2026-02-11,EXPIRED,,1
GOLREC000069,GOL000069,USR000030,CALORIES,3261.8,KCAL,2026-02-11,2026-05-11,COMPLETED,,1
GOLREC000070,GOL000070,USR005404,DISTANCE_KM,38.6,KM,2026-03-10,2026-04-06,EXPIRED,CYCLE,1
GOLREC000071,GOL000071,USR001320,DISTANCE_KM,215.8,KM,2026-04-04,2026-05-04,ACTIVE,CYCLE,1
GOLREC000072,GOL000072,USR006502,DISTANCE_KM,56.6,KM,2026-05-07,2026-06-30,ACTIVE,CYCLE,1
GOLREC000073,GOL000073,USR003754,CALORIES,6515.0,KCAL,2026-02-04,2026-03-03,COMPLETED,,1
GOLREC000074,GOL000074,USR003821,DISTANCE_KM,120.7,KM,2026-01-15,2026-04-14,COMPLETED,RUN,1
GOLREC000075,GOL000075,USR002655,WORKOUT_COUNT,15.0,WORKOUTS,2026-01-12,2026-04-11,COMPLETED,WALK,1
GOLREC000076,GOL000076,USR002471,DURATION_MINUTES,381.0,MINUTES,2026-01-20,2026-02-18,ACTIVE,,1
GOLREC000077,GOL000077,USR007637,WORKOUT_COUNT,33.0,WORKOUTS,2026-02-06,2026-03-07,COMPLETED,CYCLE,1
GOLREC000078,GOL000078,USR004023,DURATION_MINUTES,985.0,MINUTES,2026-04-19,2026-06-17,EXPIRED,WALK,1
GOLREC000079,GOL000079,USR004370,DURATION_MINUTES,134.0,MINUTES,2026-02-11,2026-05-11,ACTIVE,,1
GOLREC000080,GOL000080,USR007524,DISTANCE_KM,168.6,KM,2026-03-10,2026-05-08,COMPLETED,RUN,1
GOLREC000081,GOL000081,USR007667,DISTANCE_KM,249.4,KM,2026-05-15,2026-06-14,COMPLETED,SWIM,1
GOLREC000082,GOL000082,USR003536,WORKOUT_COUNT,26.0,WORKOUTS,2026-05-14,2026-06-30,EXPIRED,,1
GOLREC000083,GOL000083,USR004717,DURATION_MINUTES,1694.0,MINUTES,2026-04-11,2026-05-10,COMPLETED,,1
GOLREC000084,GOL000084,USR007600,DURATION_MINUTES,128.0,MINUTES,2026-05-09,2026-06-30,COMPLETED,OTHER,1
GOLREC000085,GOL000085,USR007798,DISTANCE_KM,77.7,KM,2026-02-12,2026-03-14,ACTIVE,WALK,1
GOLREC000086,GOL000086,USR007427,DURATION_MINUTES,1312.0,MINUTES,2026-04-19,2026-05-16,EXPIRED,YOGA,1
GOLREC000087,GOL000087,USR005292,DISTANCE_KM,219.8,KM,2026-02-08,2026-03-07,COMPLETED,CYCLE,1
GOLREC000088,GOL000088,USR006158,CALORIES,13087.2,KCAL,2026-01-04,2026-02-03,EXPIRED,YOGA,1
GOLREC000089,GOL000089,USR000334,DURATION_MINUTES,594.0,MINUTES,2026-04-12,2026-05-09,EXPIRED,WALK,1
GOLREC000090,GOL000090,USR006161,WORKOUT_COUNT,21.0,WORKOUTS,2026-03-09,2026-04-07,ACTIVE,,1
GOLREC000091,GOL000091,USR001304,DISTANCE_KM,41.4,KM,2026-03-04,2026-04-03,ACTIVE,SWIM,1
GOLREC000092,GOL000092,USR000845,DISTANCE_KM,138.7,KM,2026-03-12,2026-04-11,EXPIRED,WALK,1
GOLREC000093,GOL000093,USR005625,WORKOUT_COUNT,23.0,WORKOUTS,2026-04-13,2026-05-13,ACTIVE,RUN,1
GOLREC000094,GOL000094,USR005253,DISTANCE_KM,58.8,KM,2026-02-04,2026-03-06,ACTIVE,SWIM,1
GOLREC000095,GOL000095,USR006853,WORKOUT_COUNT,27.0,WORKOUTS,2026-05-09,2026-06-08,COMPLETED,,1
GOLREC000096,GOL000096,USR003821,WORKOUT_COUNT,25.0,WORKOUTS,2026-03-11,2026-06-08,COMPLETED,,1
GOLREC000097,GOL000097,USR004009,DURATION_MINUTES,1334.0,MINUTES,2026-02-07,2026-03-06,COMPLETED,,1
GOLREC000098,GOL000098,USR007159,DISTANCE_KM,45.8,KM,2026-05-10,2026-06-08,ACTIVE,CYCLE,1
GOLREC000099,GOL000099,USR006322,CALORIES,7310.2,KCAL,2026-01-13,2026-04-12,ACTIVE,,1
GOLREC000100,GOL000100,USR002153,WORKOUT_COUNT,12.0,WORKOUTS,2026-05-05,2026-06-01,EXPIRED,,1
GOLREC000101,GOL000101,USR003262,CALORIES,17990.8,KCAL,2026-01-05,2026-02-03,ACTIVE,YOGA,1
GOLREC000102,GOL000102,USR001105,DISTANCE_KM,125.0,KM,2026-04-10,2026-06-08,COMPLETED,SWIM,1
GOLREC000103,GOL000103,USR000612,CALORIES,4208.2,KCAL,2026-04-08,2026-05-08,ACTIVE,WALK,1
GOLREC000104,GOL000104,USR005319,DISTANCE_KM,68.3,KM,2026-04-20,2026-05-17,EXPIRED,SWIM,1
GOLREC000105,GOL000105,USR005175,DISTANCE_KM,232.9,KM,2026-05-13,2026-06-30,COMPLETED,SWIM,1
GOLREC000106,GOL000106,USR003908,DURATION_MINUTES,862.0,MINUTES,2026-02-12,2026-03-14,EXPIRED,,1
GOLREC000107,GOL000107,USR007403,DURATION_MINUTES,952.0,MINUTES,2026-05-15,2026-06-14,COMPLETED,,1
GOLREC000108,GOL000108,USR004795,DISTANCE_KM,125.2,KM,2026-02-12,2026-03-13,ACTIVE,CYCLE,1
GOLREC000109,GOL000109,USR001271,DURATION_MINUTES,206.0,MINUTES,2026-04-13,2026-05-13,COMPLETED,,1
GOLREC000110,GOL000110,USR002778,DURATION_MINUTES,423.0,MINUTES,2026-02-07,2026-03-09,EXPIRED,RUN,1
GOLREC000111,GOL000111,USR005675,CALORIES,17090.1,KCAL,2026-01-19,2026-02-18,ACTIVE,CYCLE,1
GOLREC000112,GOL000112,USR003026,WORKOUT_COUNT,15.0,WORKOUTS,2026-02-11,2026-03-13,COMPLETED,YOGA,1
GOLREC000113,GOL000113,USR005833,DURATION_MINUTES,1178.0,MINUTES,2026-03-15,2026-04-11,CANCELLED,,1
GOLREC000114,GOL000114,USR004726,DISTANCE_KM,195.1,KM,2026-01-17,2026-02-13,EXPIRED,CYCLE,1
GOLREC000115,GOL000115,USR005351,DISTANCE_KM,196.2,KM,2026-01-06,2026-02-02,COMPLETED,RUN,1
GOLREC000116,GOL000116,USR002701,DISTANCE_KM,136.9,KM,2026-04-15,2026-05-15,COMPLETED,WALK,1
GOLREC000117,GOL000117,USR001496,DURATION_MINUTES,670.0,MINUTES,2026-05-18,2026-06-16,EXPIRED,SWIM,1
GOLREC000118,GOL000118,USR001714,WORKOUT_COUNT,17.0,WORKOUTS,2026-05-06,2026-06-02,EXPIRED,,1
GOLREC000119,GOL000119,USR002597,WORKOUT_COUNT,22.0,WORKOUTS,2026-05-18,2026-06-17,EXPIRED,,1
GOLREC000120,GOL000120,USR003057,DURATION_MINUTES,724.0,MINUTES,2026-04-15,2026-05-12,EXPIRED,,1
GOLREC000121,GOL000121,USR005264,DURATION_MINUTES,1574.0,MINUTES,2026-05-05,2026-06-04,COMPLETED,,1
GOLREC000122,GOL000122,USR003974,CALORIES,17810.2,KCAL,2026-05-03,2026-06-30,EXPIRED,,1
GOLREC000123,GOL000123,USR001075,WORKOUT_COUNT,14.0,WORKOUTS,2026-04-09,2026-05-09,ACTIVE,OTHER,1
GOLREC000124,GOL000124,USR004102,WORKOUT_COUNT,21.0,WORKOUTS,2026-05-19,2026-06-18,COMPLETED,,1
GOLREC000125,GOL000125,USR003621,DURATION_MINUTES,1434.0,MINUTES,2026-04-19,2026-05-18,ACTIVE,RUN,1
GOLREC000126,GOL000126,USR003873,WORKOUT_COUNT,24.0,WORKOUTS,2026-02-03,2026-03-02,COMPLETED,,1
GOLREC000127,GOL000127,USR004503,DURATION_MINUTES,1473.0,MINUTES,2026-04-03,2026-05-03,EXPIRED,,1
GOLREC000128,GOL000128,USR007384,DISTANCE_KM,150.4,KM,2026-03-02,2026-03-31,COMPLETED,RUN,1
